Season,Episode,Month,Day,Year,Title,Directed By,Written By,Duration,Summary,U.S. Viewers,Rating
4,6,11,6,1997,The One with the Dirty Girl,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,22.0,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.,25700000.0,0.625
4,7,11,13,1997,The One Where Chandler Crosses the Line,Kevin S. Bright,Adam Chase,22.0,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.,26400000.0,0.6275862068965516
4,8,11,20,1997,The One with Chandler in a Box,Peter Bonerz,Michael Borkow,22.0,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,26800000.0,0.6344827586206896
4,9,12,11,1997,The One Where They're Going to Party!,Peter Bonerz,Ted Cohen & Andrew Reich,22.0,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,23900000.0,0.6192307692307693
4,10,12,18,1997,The One with the Girl from Poughkeepsie,Gary Halvorson,Scott Silveri,22.0,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.",23200000.0,0.5846153846153845
4,11,1,8,1998,The One with Phoebe's Uterus,David Steinberg,Seth Kurland,22.0,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,23700000.0,0.6541666666666667
4,12,1,15,1998,The One with the Embryos,Kevin S. Bright,Jill Condon & Amy Toomin,22.0,"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.",27100000.0,0.6407407407407407
4,13,1,29,1998,The One with Rachel's Crush,Dana DeVally Piazza,Shana Goldberg-Meehan,22.0,"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.",25300000.0,0.6259259259259259
4,14,2,5,1998,The One with Joey's Dirty Day,Peter Bonerz,Wil Calhoun,22.0,"Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.",25100000.0,0.6538461538461539
4,15,2,26,1998,The One with All the Rugby,James Burrows,"Story by : Ted Cohen & Andrew Reich
Teleplay by : Wil Calhoun",22.0,"Chandler runs into Janice, and finds her more irritating than ever and creates an elaborate plan to break up with her, meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric lighting switch.",24400000.0,0.6346153846153846
4,16,3,19,1998,The One with the Fake Party,Michael Lembeck,"Story by : Alicia Sky Varinaitis
Teleplay by : Scott Silveri & Shana Goldberg-Meehan",22.0,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.,23100000.0,0.6115384615384616
4,17,3,26,1998,The One with the Free Porn,Michael Lembeck,"Story by : Mark Kunerth
Teleplay by : Richard Goodman",22.0,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.,23200000.0,0.5888888888888889
4,18,4,2,1998,The One with Rachel's New Dress,Gail Mancuso,"Story by : Andrew Reich & Ted Cohen
Teleplay by : Jill Condon & Amy Toomin",22.0,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,21700000.0,0.6208333333333333
4,19,4,9,1998,The One with All the Haste,Kevin S. Bright,Scott Silveri & Wil Calhoun,22.0,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,21800000.0,0.5703703703703704
4,20,4,16,1998,The One with All the Wedding Dresses,Gail Mancuso,"Story by : Adam Chase
Teleplay by : Gregory S. Malins & Michael Curtis",22.0,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.",21900000.0,0.5884615384615385
4,21,4,23,1998,The One with the Invitation,Peter Bonerz,Seth Kurland,22.0,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.",21500000.0,0.5666666666666667
4,22,4,30,1998,The One with the Worst Best Man Ever,Peter Bonerz,"Story by : Seth Kurland
Teleplay by : Gregory S. Malins & Michael Curtis",22.0,"at first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.",23200000.0,0.5925925925925926
4,24,5,7,1998,The One with Ross's Wedding,Kevin S. Bright,"Michael BorkowStory by : Jill Condon & Amy Toomin
Teleplay by : Shana Goldberg-Meehan & Scott Silveri",60.0,"Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding, while someone else unexpectedly shows up to the wedding. Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.",31600000.0,0.6057142857142856
5,1,9,24,1998,The One After Ross Says Rachel,Kevin S. Bright,Seth Kurland,22.0,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.",31100000.0,0.6060606060606061
5,2,10,1,1998,The One with All the Kissing,Gary Halvorson,Wil Calhoun,22.0,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,25400000.0,0.6
5,3,10,8,1998,The One Hundredth,Kevin S. Bright,David Crane & Marta Kauffman,22.0,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.",26800000.0,0.6103448275862069
5,4,10,15,1998,The One Where Phoebe Hates PBS,Shelley Jensen,Michael Curtis,22.0,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,24100000.0,0.5814814814814815
5,5,10,29,1998,The One with the Kips,Dana DeVally Piazza,Scott Silveri,22.0,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,25900000.0,0.6296296296296297
5,6,11,5,1998,The One with the Yeti,Gary Halvorson,Alexa Junge,22.0,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.,25000000.0,0.6461538461538462
5,7,11,12,1998,The One Where Ross Moves In,Gary Halvorson,Gigi McCreery & Perry Rein,22.0,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,24400000.0,0.6192307692307693
5,8,11,19,1998,The One with All the Thanksgivings,Kevin S. Bright,Gregory S. Malins,22.0,The gang remember and share with each other their worst Thanksgivings.,23900000.0,0.6269230769230769
